dataset,method,gamma,accuracy,runtime_s,train_size,test_size,n_classes
Adiac,sdtw_div,0.5,0.6879795396419437,50.15156531333923,390,391,37
ArrowHead,sdtw_div,0.5,0.6457142857142857,8.346496820449829,36,175,3
Adiac,sharp_sdtw_div,0.5,0.6751918158567775,63.66283965110779,390,391,37
Adiac,sdtw_div,1.0,0.6726342710997443,49.41094613075256,390,391,37
Adiac,sharp_sdtw_div,1.0,0.6726342710997443,59.84506821632385,390,391,37
Adiac,sdtw_div,3.0,0.6419437340153452,50.042497873306274,390,391,37
Adiac,sharp_sdtw_div,3.0,0.680306905370844,60.22696805000305,390,391,37
Adiac,sdtw_div,5.0,0.6317135549872123,50.19749307632446,390,391,37
Meat,sdtw_div,0.5,0.8833333333333333,5.803213357925415,60,60,3
Meat,sharp_sdtw_div,0.5,0.8833333333333333,8.372773885726929,60,60,3
Meat,sdtw_div,1.0,0.8833333333333333,5.83344292640686,60,60,3
Meat,sharp_sdtw_div,1.0,0.8833333333333333,8.03660774230957,60,60,3
Meat,sdtw_div,3.0,0.8833333333333333,5.824829339981079,60,60,3
FreezerSmallTrain,sdtw_div,0.5,0.7508771929824561,47.32478666305542,28,2850,2
Meat,sharp_sdtw_div,3.0,0.8833333333333333,7.821628570556641,60,60,3
Meat,sdtw_div,5.0,0.9,5.789071083068848,60,60,3
Meat,sharp_sdtw_div,5.0,0.8833333333333333,7.697524309158325,60,60,3
Meat,sdtw_div,7.0,0.9,5.770118474960327,60,60,3
Adiac,sharp_sdtw_div,5.0,0.6675191815856778,60.939056396484375,390,391,37
Meat,sharp_sdtw_div,7.0,0.8833333333333333,7.672538280487059,60,60,3
Meat,sdtw_div,10.0,0.9,5.772002220153809,60,60,3
Meat,sharp_sdtw_div,10.0,0.9,7.607137680053711,60,60,3
FreezerSmallTrain,sharp_sdtw_div,0.5,0.7642105263157895,57.05574822425842,28,2850,2
MedicalImages,sdtw_div,0.5,0.4368421052631579,14.159476280212402,381,760,10
MedicalImages,sharp_sdtw_div,0.5,0.4171052631578947,19.45260429382324,381,760,10
Adiac,sdtw_div,7.0,0.6214833759590793,50.265976905822754,390,391,37
MedicalImages,sdtw_div,1.0,0.4289473684210526,14.755805253982544,381,760,10
FreezerSmallTrain,sdtw_div,1.0,0.7526315789473684,40.15386295318604,28,2850,2
MedicalImages,sharp_sdtw_div,1.0,0.4,19.77651882171631,381,760,10
MedicalImages,sdtw_div,3.0,0.4013157894736842,11.745166778564451,381,760,10
Adiac,sharp_sdtw_div,7.0,0.6547314578005116,60.81383919715881,390,391,37
MedicalImages,sharp_sdtw_div,3.0,0.4263157894736842,19.889707565307617,381,760,10
FreezerSmallTrain,sharp_sdtw_div,1.0,0.7624561403508772,52.0276951789856,28,2850,2
MedicalImages,sdtw_div,5.0,0.3763157894736842,10.422810077667236,381,760,10
MedicalImages,sharp_sdtw_div,5.0,0.3947368421052631,14.907716035842896,381,760,10
MedicalImages,sdtw_div,7.0,0.3697368421052631,10.253717422485352,381,760,10
Adiac,sdtw_div,10.0,0.6010230179028133,50.3121657371521,390,391,37
FreezerSmallTrain,sdtw_div,3.0,0.7533333333333333,41.75697875022888,28,2850,2
MedicalImages,sharp_sdtw_div,7.0,0.3802631578947368,13.364625692367554,381,760,10
MedicalImages,sdtw_div,10.0,0.3644736842105263,7.7178795337677,381,760,10
MedicalImages,sharp_sdtw_div,10.0,0.3842105263157894,14.05739140510559,381,760,10
MiddlePhalanxOutlineAgeGroup,sdtw_div,0.5,0.6038961038961039,1.447216510772705,400,154,3
MiddlePhalanxOutlineAgeGroup,sharp_sdtw_div,0.5,0.6038961038961039,5.568125247955322,400,154,3
MiddlePhalanxOutlineAgeGroup,sdtw_div,1.0,0.6103896103896104,1.0787842273712158,400,154,3
MiddlePhalanxOutlineAgeGroup,sharp_sdtw_div,1.0,0.6038961038961039,1.8895275592803955,400,154,3
MiddlePhalanxOutlineAgeGroup,sdtw_div,3.0,0.6038961038961039,1.0903599262237549,400,154,3
MiddlePhalanxOutlineAgeGroup,sharp_sdtw_div,3.0,0.6038961038961039,1.4340572357177734,400,154,3
MiddlePhalanxOutlineAgeGroup,sdtw_div,5.0,0.5974025974025974,1.088308811187744,400,154,3
MiddlePhalanxOutlineAgeGroup,sharp_sdtw_div,5.0,0.6103896103896104,1.4306046962738037,400,154,3
MiddlePhalanxOutlineAgeGroup,sdtw_div,7.0,0.5974025974025974,1.0855205059051514,400,154,3
MiddlePhalanxOutlineAgeGroup,sharp_sdtw_div,7.0,0.6103896103896104,1.4269015789031982,400,154,3
MiddlePhalanxOutlineAgeGroup,sdtw_div,10.0,0.5974025974025974,1.0832862854003906,400,154,3
MiddlePhalanxOutlineAgeGroup,sharp_sdtw_div,10.0,0.5974025974025974,1.4253952503204346,400,154,3
MiddlePhalanxOutlineCorrect,sdtw_div,0.5,0.5738831615120275,3.307790517807007,600,291,2
MiddlePhalanxOutlineCorrect,sharp_sdtw_div,0.5,0.6185567010309279,10.002622842788696,600,291,2
MiddlePhalanxOutlineCorrect,sdtw_div,1.0,0.5910652920962199,2.094961643218994,600,291,2
Adiac,sharp_sdtw_div,10.0,0.6445012787723785,60.65476727485657,390,391,37
MiddlePhalanxOutlineCorrect,sharp_sdtw_div,1.0,0.6116838487972509,5.44780421257019,600,291,2
FreezerSmallTrain,sharp_sdtw_div,3.0,0.744561403508772,64.89552474021912,28,2850,2
MiddlePhalanxOutlineCorrect,sdtw_div,3.0,0.5326460481099656,1.5800483226776123,600,291,2
MiddlePhalanxOutlineCorrect,sharp_sdtw_div,3.0,0.6013745704467354,2.820620536804199,600,291,2
MiddlePhalanxOutlineCorrect,sdtw_div,5.0,0.5154639175257731,1.5781331062316897,600,291,2
MiddlePhalanxOutlineCorrect,sharp_sdtw_div,5.0,0.5773195876288659,2.088284969329834,600,291,2
MiddlePhalanxOutlineCorrect,sdtw_div,7.0,0.5051546391752577,1.5731782913208008,600,291,2
MiddlePhalanxOutlineCorrect,sharp_sdtw_div,7.0,0.5567010309278351,2.084049940109253,600,291,2
MiddlePhalanxOutlineCorrect,sdtw_div,10.0,0.4948453608247423,1.574997901916504,600,291,2
MiddlePhalanxOutlineCorrect,sharp_sdtw_div,10.0,0.5360824742268041,2.09450101852417,600,291,2
MiddlePhalanxTW,sdtw_div,0.5,0.4415584415584415,1.560624122619629,399,154,6
MiddlePhalanxTW,sharp_sdtw_div,0.5,0.448051948051948,2.3086159229278564,399,154,6
MiddlePhalanxTW,sdtw_div,1.0,0.4415584415584415,1.3550071716308594,399,154,6
ArrowHead,sharp_sdtw_div,0.5,0.7028571428571428,26.49070882797241,36,175,3
MiddlePhalanxTW,sharp_sdtw_div,1.0,0.4415584415584415,1.9667155742645264,399,154,6
MiddlePhalanxTW,sdtw_div,3.0,0.4285714285714285,1.3101768493652344,399,154,6
MiddlePhalanxTW,sharp_sdtw_div,3.0,0.4285714285714285,1.7147221565246582,399,154,6
ArrowHead,sdtw_div,1.0,0.6,4.833265542984009,36,175,3
MiddlePhalanxTW,sdtw_div,5.0,0.4285714285714285,1.3077211380004885,399,154,6
MiddlePhalanxTW,sharp_sdtw_div,5.0,0.4415584415584415,1.675206184387207,399,154,6
MiddlePhalanxTW,sdtw_div,7.0,0.422077922077922,1.3041234016418457,399,154,6
MiddlePhalanxTW,sharp_sdtw_div,7.0,0.4415584415584415,1.670910120010376,399,154,6
MiddlePhalanxTW,sdtw_div,10.0,0.4285714285714285,1.3008346557617188,399,154,6
MiddlePhalanxTW,sharp_sdtw_div,10.0,0.4285714285714285,1.6683776378631592,399,154,6
MoteStrain,sdtw_div,0.5,0.9009584664536742,1.621535062789917,20,1252,2
MoteStrain,sharp_sdtw_div,0.5,0.8634185303514377,1.79506254196167,20,1252,2
FreezerSmallTrain,sdtw_div,5.0,0.755438596491228,37.87657761573792,28,2850,2
MoteStrain,sdtw_div,1.0,0.9017571884984026,1.5953998565673828,20,1252,2
MoteStrain,sharp_sdtw_div,1.0,0.8889776357827476,1.9002232551574707,20,1252,2
MoteStrain,sdtw_div,3.0,0.889776357827476,1.5412111282348633,20,1252,2
ArrowHead,sharp_sdtw_div,1.0,0.6114285714285714,17.606279134750366,36,175,3
MoteStrain,sharp_sdtw_div,3.0,0.9033546325878594,1.9062919616699217,20,1252,2
MoteStrain,sdtw_div,5.0,0.8929712460063898,1.5754048824310305,20,1252,2
ArrowHead,sdtw_div,3.0,0.5771428571428572,4.613040208816528,36,175,3
MoteStrain,sharp_sdtw_div,5.0,0.8993610223642172,1.9000921249389648,20,1252,2
MoteStrain,sdtw_div,7.0,0.8865814696485623,1.5911664962768557,20,1252,2
MoteStrain,sharp_sdtw_div,7.0,0.9041533546325878,1.8466854095458984,20,1252,2
MoteStrain,sdtw_div,10.0,0.8817891373801917,1.53552508354187,20,1252,2
ArrowHead,sharp_sdtw_div,3.0,0.5714285714285714,7.065769910812378,36,175,3
MoteStrain,sharp_sdtw_div,10.0,0.9033546325878594,1.829267263412476,20,1252,2
ArrowHead,sdtw_div,5.0,0.5828571428571429,4.607749700546265,36,175,3
OliveOil,sdtw_div,0.5,0.8666666666666667,5.993717193603516,30,30,4
ArrowHead,sharp_sdtw_div,5.0,0.5371428571428571,6.479444265365601,36,175,3
OliveOil,sharp_sdtw_div,0.5,0.8666666666666667,8.333824157714844,30,30,4
ArrowHead,sdtw_div,7.0,0.5771428571428572,4.540648698806763,36,175,3
OliveOil,sdtw_div,1.0,0.8666666666666667,6.233262538909912,30,30,4
ArrowHead,sharp_sdtw_div,7.0,0.5542857142857143,6.383161544799805,36,175,3
ArrowHead,sdtw_div,10.0,0.5771428571428572,4.43743371963501,36,175,3
OliveOil,sharp_sdtw_div,1.0,0.8666666666666667,9.08345651626587,30,30,4
ArrowHead,sharp_sdtw_div,10.0,0.5828571428571429,6.069909334182739,36,175,3
FreezerSmallTrain,sharp_sdtw_div,5.0,0.7463157894736843,51.24102568626404,28,2850,2
OliveOil,sdtw_div,3.0,0.8666666666666667,5.844496965408325,30,30,4
OliveOil,sharp_sdtw_div,3.0,0.8666666666666667,8.027331113815308,30,30,4
Beef,sdtw_div,0.5,0.4666666666666667,13.261110544204712,30,30,5
OliveOil,sdtw_div,5.0,0.8666666666666667,4.979950428009033,30,30,4
OliveOil,sharp_sdtw_div,5.0,0.8666666666666667,8.003399133682251,30,30,4
OliveOil,sdtw_div,7.0,0.8666666666666667,4.987000465393066,30,30,4
OliveOil,sharp_sdtw_div,7.0,0.8666666666666667,7.951723098754883,30,30,4
FreezerSmallTrain,sdtw_div,7.0,0.7585964912280702,37.49342918395996,28,2850,2
OliveOil,sdtw_div,10.0,0.8666666666666667,4.981687784194946,30,30,4
OliveOil,sharp_sdtw_div,10.0,0.8666666666666667,6.6494200229644775,30,30,4
FreezerSmallTrain,sharp_sdtw_div,7.0,0.7501754385964913,49.66752219200134,28,2850,2
Beef,sharp_sdtw_div,0.5,0.6,77.50669431686401,30,30,5
Beef,sdtw_div,1.0,0.5,13.240142345428469,30,30,5
FreezerSmallTrain,sdtw_div,10.0,0.76,37.41822838783264,28,2850,2
Beef,sharp_sdtw_div,1.0,0.4666666666666667,62.94270896911621,30,30,5
FreezerSmallTrain,sharp_sdtw_div,10.0,0.7529824561403509,43.73267889022827,28,2850,2
GunPointAgeSpan,sdtw_div,0.5,0.6360759493670886,3.907611608505249,135,316,2
Beef,sdtw_div,3.0,0.5333333333333333,11.843541622161863,30,30,5
GunPointAgeSpan,sharp_sdtw_div,0.5,0.6360759493670886,5.507266044616699,135,316,2
OSULeaf,sdtw_div,0.5,0.5247933884297521,132.73324394226074,200,242,6
GunPointAgeSpan,sdtw_div,1.0,0.6392405063291139,3.848235607147217,135,316,2
GunPointAgeSpan,sharp_sdtw_div,1.0,0.6360759493670886,5.450282096862793,135,316,2
GunPointAgeSpan,sdtw_div,3.0,0.6329113924050633,3.950892686843872,135,316,2
GunPointAgeSpan,sharp_sdtw_div,3.0,0.6360759493670886,5.603086471557617,135,316,2
GunPointAgeSpan,sdtw_div,5.0,0.6392405063291139,4.088122129440308,135,316,2
GunPointAgeSpan,sharp_sdtw_div,5.0,0.6360759493670886,5.623668670654297,135,316,2
Beef,sharp_sdtw_div,3.0,0.5,32.13826560974121,30,30,5
GunPointAgeSpan,sdtw_div,7.0,0.6360759493670886,4.561863899230957,135,316,2
GunPointAgeSpan,sharp_sdtw_div,7.0,0.6360759493670886,5.66796088218689,135,316,2
Beef,sdtw_div,5.0,0.5333333333333333,8.735710144042969,30,30,5
GunPointAgeSpan,sdtw_div,10.0,0.6360759493670886,4.7112438678741455,135,316,2
GunPointAgeSpan,sharp_sdtw_div,10.0,0.6455696202531646,5.75156044960022,135,316,2
GunPointMaleVersusFemale,sdtw_div,0.5,0.7373417721518988,4.697863817214966,135,316,2
GunPointMaleVersusFemale,sharp_sdtw_div,0.5,0.7373417721518988,7.139149188995361,135,316,2
GunPointMaleVersusFemale,sdtw_div,1.0,0.7373417721518988,4.755922317504883,135,316,2
Beef,sharp_sdtw_div,5.0,0.5,33.047685623168945,30,30,5
GunPointMaleVersusFemale,sharp_sdtw_div,1.0,0.7373417721518988,6.663951635360718,135,316,2
GunPointMaleVersusFemale,sdtw_div,3.0,0.7373417721518988,5.052520513534546,135,316,2
Beef,sdtw_div,7.0,0.5333333333333333,8.405165910720825,30,30,5
GunPointMaleVersusFemale,sharp_sdtw_div,3.0,0.7373417721518988,8.148942232131958,135,316,2
GunPointMaleVersusFemale,sdtw_div,5.0,0.7373417721518988,5.504174470901489,135,316,2
GunPointMaleVersusFemale,sharp_sdtw_div,5.0,0.7373417721518988,7.747622728347778,135,316,2
Beef,sharp_sdtw_div,7.0,0.5333333333333333,22.620944261550903,30,30,5
GunPointMaleVersusFemale,sdtw_div,7.0,0.7373417721518988,4.610973358154297,135,316,2
Beef,sdtw_div,10.0,0.5333333333333333,7.797072410583496,30,30,5
GunPointMaleVersusFemale,sharp_sdtw_div,7.0,0.7373417721518988,8.601885795593262,135,316,2
GunPointMaleVersusFemale,sdtw_div,10.0,0.7373417721518988,4.716237306594849,135,316,2
GunPointMaleVersusFemale,sharp_sdtw_div,10.0,0.7373417721518988,7.0487940311431885,135,316,2
GunPointOldVersusYoung,sdtw_div,0.5,1.0,5.28143310546875,136,315,2
Beef,sharp_sdtw_div,10.0,0.5333333333333333,22.84587812423706,30,30,5
GunPointOldVersusYoung,sharp_sdtw_div,0.5,1.0,8.715909242630005,136,315,2
GunPointOldVersusYoung,sdtw_div,1.0,1.0,4.9169251918792725,136,315,2
GunPointOldVersusYoung,sharp_sdtw_div,1.0,1.0,7.951002836227417,136,315,2
GunPointOldVersusYoung,sdtw_div,3.0,1.0,5.276701927185059,136,315,2
BeetleFly,sdtw_div,0.5,0.7,25.44590759277344,20,20,2
GunPointOldVersusYoung,sharp_sdtw_div,3.0,1.0,7.397966861724853,136,315,2
GunPointOldVersusYoung,sdtw_div,5.0,1.0,5.134695529937744,136,315,2
GunPointOldVersusYoung,sharp_sdtw_div,5.0,1.0,7.81615948677063,136,315,2
GunPointOldVersusYoung,sdtw_div,7.0,1.0,4.704838275909424,136,315,2
GunPointOldVersusYoung,sharp_sdtw_div,7.0,1.0,7.864091873168945,136,315,2
GunPointOldVersusYoung,sdtw_div,10.0,1.0,6.09618091583252,136,315,2
GunPointOldVersusYoung,sharp_sdtw_div,10.0,1.0,7.746218919754028,136,315,2
BeetleFly,sharp_sdtw_div,0.5,0.75,57.282527446746826,20,20,2
InsectEPGRegularTrain,sdtw_div,0.5,1.0,26.02842664718628,62,249,3
BeetleFly,sdtw_div,1.0,0.75,24.309526681900024,20,20,2
InsectEPGRegularTrain,sharp_sdtw_div,0.5,1.0,32.668516874313354,62,249,3
OSULeaf,sharp_sdtw_div,0.5,0.4669421487603306,263.17715191841125,200,242,6
InsectEPGRegularTrain,sdtw_div,1.0,1.0,25.56764340400696,62,249,3
BeetleFly,sharp_sdtw_div,1.0,0.75,54.76453375816345,20,20,2
BeetleFly,sdtw_div,3.0,0.8,12.71488332748413,20,20,2
InsectEPGRegularTrain,sharp_sdtw_div,1.0,1.0,31.92962217330933,62,249,3
InsectEPGRegularTrain,sdtw_div,3.0,1.0,26.053035974502563,62,249,3
BeetleFly,sharp_sdtw_div,3.0,0.65,64.99994969367981,20,20,2
InsectEPGRegularTrain,sharp_sdtw_div,3.0,1.0,32.89592695236206,62,249,3
BeetleFly,sdtw_div,5.0,0.75,9.361579179763794,20,20,2
OSULeaf,sdtw_div,1.0,0.5041322314049587,138.8244986534119,200,242,6
InsectEPGRegularTrain,sdtw_div,5.0,1.0,25.879390239715576,62,249,3
BeetleFly,sharp_sdtw_div,5.0,0.8,47.8949875831604,20,20,2
InsectEPGRegularTrain,sharp_sdtw_div,5.0,1.0,33.4059841632843,62,249,3
BeetleFly,sdtw_div,7.0,0.8,8.456286907196045,20,20,2
BeetleFly,sharp_sdtw_div,7.0,0.8,18.77817916870117,20,20,2
InsectEPGRegularTrain,sdtw_div,7.0,1.0,26.106236934661865,62,249,3
BeetleFly,sdtw_div,10.0,0.85,10.053833961486816,20,20,2
BeetleFly,sharp_sdtw_div,10.0,0.8,17.391645908355713,20,20,2
InsectEPGRegularTrain,sharp_sdtw_div,7.0,1.0,33.21489071846008,62,249,3
BirdChicken,sdtw_div,0.5,0.6,20.05026626586914,20,20,2
InsectEPGRegularTrain,sdtw_div,10.0,1.0,26.093313694000244,62,249,3
ECG200,sdtw_div,0.5,0.73,2.967411994934082,100,100,2
ECG200,sharp_sdtw_div,0.5,0.7,4.418924570083618,100,100,2
ECG200,sdtw_div,1.0,0.73,1.944998264312744,100,100,2
ECG200,sharp_sdtw_div,1.0,0.73,5.821876287460327,100,100,2
ECG200,sdtw_div,3.0,0.7,1.8195488452911377,100,100,2
ECG200,sharp_sdtw_div,3.0,0.73,3.415205717086792,100,100,2
ECG200,sdtw_div,5.0,0.72,0.9803347587585448,100,100,2
InsectEPGRegularTrain,sharp_sdtw_div,10.0,1.0,33.31786394119263,62,249,3
ECG200,sharp_sdtw_div,5.0,0.72,3.6956887245178223,100,100,2
ECG200,sdtw_div,7.0,0.72,0.9038450717926024,100,100,2
ECG200,sharp_sdtw_div,7.0,0.71,2.48719334602356,100,100,2
ECG200,sdtw_div,10.0,0.72,0.8716795444488525,100,100,2
ECG200,sharp_sdtw_div,10.0,0.69,1.4376707077026367,100,100,2
BirdChicken,sharp_sdtw_div,0.5,0.8,70.71428227424622,20,20,2
InsectEPGSmallTrain,sdtw_div,0.5,1.0,21.22110843658448,17,249,3
BirdChicken,sdtw_div,1.0,0.6,24.129663944244385,20,20,2
InsectEPGSmallTrain,sharp_sdtw_div,0.5,1.0,25.552743673324585,17,249,3
InsectEPGSmallTrain,sdtw_div,1.0,1.0,20.70864701271057,17,249,3
OSULeaf,sharp_sdtw_div,1.0,0.4586776859504132,227.72889041900635,200,242,6
ECG5000,sdtw_div,0.5,0.866,76.71778440475464,500,4500,5
InsectEPGSmallTrain,sharp_sdtw_div,1.0,1.0,24.52901077270508,17,249,3
InsectEPGSmallTrain,sdtw_div,3.0,1.0,21.146215200424194,17,249,3
BirdChicken,sharp_sdtw_div,1.0,0.6,82.08700513839722,20,20,2
BirdChicken,sdtw_div,3.0,0.55,6.912604093551636,20,20,2
InsectEPGSmallTrain,sharp_sdtw_div,3.0,1.0,24.902709484100345,17,249,3
InsectEPGSmallTrain,sdtw_div,5.0,1.0,21.160684823989868,17,249,3
BirdChicken,sharp_sdtw_div,3.0,0.7,32.60819339752197,20,20,2
BirdChicken,sdtw_div,5.0,0.5,6.549023151397705,20,20,2
InsectEPGSmallTrain,sharp_sdtw_div,5.0,1.0,24.95269203186035,17,249,3
ECG5000,sharp_sdtw_div,0.5,0.8404444444444444,100.6910171508789,500,4500,5
OSULeaf,sdtw_div,3.0,0.512396694214876,126.10466146469116,200,242,6
InsectEPGSmallTrain,sdtw_div,7.0,1.0,20.91819977760315,17,249,3
BirdChicken,sharp_sdtw_div,5.0,0.7,34.97435641288757,20,20,2
BirdChicken,sdtw_div,7.0,0.5,5.558032989501953,20,20,2
BirdChicken,sharp_sdtw_div,7.0,0.65,13.129287242889404,20,20,2
InsectEPGSmallTrain,sharp_sdtw_div,7.0,1.0,25.08617687225341,17,249,3
BirdChicken,sdtw_div,10.0,0.5,4.9702746868133545,20,20,2
BirdChicken,sharp_sdtw_div,10.0,0.55,12.440606594085692,20,20,2
InsectEPGSmallTrain,sdtw_div,10.0,1.0,20.99076557159424,17,249,3
ECG5000,sdtw_div,1.0,0.8597777777777778,77.0726866722107,500,4500,5
InsectEPGSmallTrain,sharp_sdtw_div,10.0,1.0,24.98120713233948,17,249,3
Car,sdtw_div,0.5,0.7166666666666667,39.32403993606568,60,60,4
PickupGestureWiimoteZ,sdtw_div,0.5,0.8,14.416097640991213,50,50,10
PickupGestureWiimoteZ,sharp_sdtw_div,0.5,0.88,33.51447248458862,50,50,10
PickupGestureWiimoteZ,sdtw_div,1.0,0.76,10.61839723587036,50,50,10
PickupGestureWiimoteZ,sharp_sdtw_div,1.0,0.82,20.225802421569824,50,50,10
PickupGestureWiimoteZ,sdtw_div,3.0,0.66,8.434176921844482,50,50,10
OSULeaf,sharp_sdtw_div,3.0,0.5082644628099173,173.91480326652527,200,242,6
PickupGestureWiimoteZ,sharp_sdtw_div,3.0,0.76,13.322910070419312,50,50,10
ECG5000,sharp_sdtw_div,1.0,0.8484444444444444,122.02346181869508,500,4500,5
PickupGestureWiimoteZ,sdtw_div,5.0,0.64,7.911191701889038,50,50,10
PickupGestureWiimoteZ,sharp_sdtw_div,5.0,0.68,11.656628131866457,50,50,10
PickupGestureWiimoteZ,sdtw_div,7.0,0.62,7.338616371154785,50,50,10
PickupGestureWiimoteZ,sharp_sdtw_div,7.0,0.66,10.603207349777222,50,50,10
